CompTreat,TempTreat,VarBatch,Gen,ReplicateST,ReplicateVA,Replicate,TempDiff,Incubator,MeanTemp,IncubTemp,LINE_ID,TUBE_ID
COMP,STEADY,S,G01,1,1,1,0,Steady,24,24,C_S_R1,1001
COMP,STEADY,S,G01,2,2,2,0,Steady,24,24,C_S_R2,1002
COMP,STEADY,S,G01,3,3,3,0,Steady,24,24,C_S_R3,1003
COMP,STEADY,S,G01,4,4,4,0,Steady,24,24,C_S_R4,1004
COMP,STEADY,S,G01,5,5,5,0,Steady,24,24,C_S_R5,1005
COMP,STEADY,S,G01,6,1,6,0,Steady,24,24,C_S_R6,1006
COMP,STEADY,S,G01,7,2,7,0,Steady,24,24,C_S_R7,1007
COMP,STEADY,S,G01,8,3,8,0,Steady,24,24,C_S_R8,1008
COMP,STEADY,S,G01,9,4,9,0,Steady,24,24,C_S_R9,1009
COMP,STEADY,S,G01,10,5,10,0,Steady,24,24,C_S_R10,1010
COMP,STEADY,S,G01,11,1,11,0,Steady,24,24,C_S_R11,1011
COMP,STEADY,S,G01,12,2,12,0,Steady,24,24,C_S_R12,1012
COMP,STEADY,S,G01,13,3,13,0,Steady,24,24,C_S_R13,1013
COMP,STEADY,S,G01,14,4,14,0,Steady,24,24,C_S_R14,1014
COMP,STEADY,S,G01,15,5,15,0,Steady,24,24,C_S_R15,1015
COMP,STEADY,S,G01,16,1,16,0,Steady,24,24,C_S_R16,1016
COMP,STEADY,S,G01,17,2,17,0,Steady,24,24,C_S_R17,1017
COMP,STEADY,S,G01,18,3,18,0,Steady,24,24,C_S_R18,1018
COMP,STEADY,S,G01,19,4,19,0,Steady,24,24,C_S_R19,1019
COMP,STEADY,S,G01,20,5,20,0,Steady,24,24,C_S_R20,1020
COMP,STEADY,S,G01,21,1,21,0,Steady,24,24,C_S_R21,1021
COMP,STEADY,S,G01,22,2,22,0,Steady,24,24,C_S_R22,1022
COMP,STEADY,S,G01,23,3,23,0,Steady,24,24,C_S_R23,1023
COMP,STEADY,S,G01,24,4,24,0,Steady,24,24,C_S_R24,1024
COMP,STEADY,S,G01,25,5,25,0,Steady,24,24,C_S_R25,1025
COMP,STEADY,S,G01,26,1,26,0,Steady,24,24,C_S_R26,1026
COMP,STEADY,S,G01,27,2,27,0,Steady,24,24,C_S_R27,1027
COMP,STEADY,S,G01,28,3,28,0,Steady,24,24,C_S_R28,1028
COMP,STEADY,S,G01,29,4,29,0,Steady,24,24,C_S_R29,1029
COMP,STEADY,S,G01,30,5,30,0,Steady,24,24,C_S_R30,1030
COMP,STEADY,S,G01,31,1,31,0,Steady,24,24,C_S_R31,1031
COMP,STEADY,S,G01,32,2,32,0,Steady,24,24,C_S_R32,1032
COMP,STEADY,S,G01,33,3,33,0,Steady,24,24,C_S_R33,1033
COMP,STEADY,S,G01,34,4,34,0,Steady,24,24,C_S_R34,1034
COMP,STEADY,S,G01,35,5,35,0,Steady,24,24,C_S_R35,1035
COMP,STEADY,S,G01,36,1,36,0,Steady,24,24,C_S_R36,1036
COMP,STEADY,S,G01,37,2,37,0,Steady,24,24,C_S_R37,1037
COMP,STEADY,S,G01,38,3,38,0,Steady,24,24,C_S_R38,1038
COMP,STEADY,S,G01,39,4,39,0,Steady,24,24,C_S_R39,1039
COMP,STEADY,S,G01,40,5,40,0,Steady,24,24,C_S_R40,1040
COMP,STEADY,S,G01,41,1,41,0,Steady,24,24,C_S_R41,1041
COMP,STEADY,S,G01,42,2,42,0,Steady,24,24,C_S_R42,1042
COMP,STEADY,S,G01,43,3,43,0,Steady,24,24,C_S_R43,1043
COMP,STEADY,S,G01,44,4,44,0,Steady,24,24,C_S_R44,1044
COMP,STEADY,S,G01,45,5,45,0,Steady,24,24,C_S_R45,1045
COMP,STEADY,S,G01,46,1,46,0,Steady,24,24,C_S_R46,1046
COMP,STEADY,S,G01,47,2,47,0,Steady,24,24,C_S_R47,1047
