Gen,IncubTemp,LINE_ID,TUBE_ID,PAL_FEMALE,PAL_MALE,PAN_FEMALE,PAN_MALE
G02,24.4,C_S_R1,1241,35,25,7,12
G02,24.4,C_S_R2,1242,26,28,8,7
G02,24.4,C_S_R3,1243,17,17,7,9
G02,24.4,C_S_R4,1244,38,28,7,7
G02,24.4,C_S_R5,1245,27,35,8,9
G02,24.4,C_S_R6,1246,33,23,9,8
G02,24.4,C_S_R7,1247,38,35,7,8
G02,24.4,C_S_R8,1248,42,33,12,9
G02,24.4,C_S_R9,1249,31,39,6,5
G02,24.4,C_S_R10,1250,12,11,7,7
G02,24.4,C_S_R11,1251,36,32,9,8
G02,24.4,C_S_R12,1252,18,11,6,9
G02,24.4,C_S_R13,1253,2,1,8,9
G02,24.4,C_S_R14,1254,21,33,8,9
G02,24.4,C_S_R15,1255,36,24,6,8
G02,24.4,C_S_R16,1256,26,12,9,7
G02,24.4,C_S_R17,1257,34,26,9,6
G02,24.4,C_S_R18,1258,36,40,11,7
G02,24.4,C_S_R19,1259,24,22,7,6
G02,24.4,C_S_R20,1260,32,32,6,7
G02,24.4,C_S_R21,1261,32,29,13,6
G02,24.4,C_S_R22,1262,9,11,7,11
G02,24.4,C_S_R23,1263,20,22,14,5
G02,24.4,C_S_R24,1264,37,44,8,9
G02,24.4,C_S_R25,1265,30,19,7,7
G02,24.4,C_S_R26,1266,29,24,10,8
G02,24.4,C_S_R27,1267,22,13,6,5
G02,24.4,C_S_R28,1268,22,12,9,6
G02,24.4,C_S_R29,1269,21,20,8,5
G02,24.4,C_S_R30,1270,17,11,9,4
G02,24.4,C_S_R31,1271,45,41,8,5
G02,24.4,C_S_R32,1272,39,27,10,11
G02,24.4,C_S_R33,1273,39,32,10,7
G02,24.4,C_S_R34,1274,24,18,8,7
G02,24.4,C_S_R35,1275,35,31,12,8
G02,24.4,C_S_R36,1276,32,30,8,6
G02,24.4,C_S_R37,1277,36,27,10,7
G02,24.4,C_S_R38,1278,39,28,8,6
G02,24.4,C_S_R39,1279,32,25,7,7
G02,24.4,C_S_R40,1280,30,23,9,7
G02,24.4,C_S_R41,1281,42,32,10,9
G02,24.4,C_S_R42,1282,19,33,8,9
G02,24.4,C_S_R43,1283,15,16,6,9
G02,24.4,C_S_R44,1284,36,30,6,8
