LINE_ID,PrevTemp,GenNum,Prev_PAL_FEMALE,PAL_FEMALE,Prev_PAN_FEMALE,PAN_FEMALE,Prev_PAL_FEMALE_comp,Prev_PAN_FEMALE_comp,Temp20
C_S_R1,24,2,3,35,0,7,2,0,4
C_S_R1,24.4,3,35,23,7,4,34,6,4.399999999999999
C_S_R1,24.8,4,23,9,4,2,22,3,4.800000000000001
C_S_R1,25.2,5,9,24,8,30,8,7,5.199999999999999
C_S_R1,25.6,6,24,0,30,31,23,29,5.600000000000001
C_S_R10,24,2,3,12,0,7,2,0,4
C_S_R10,24.4,3,12,0,7,1,11,6,4.399999999999999
C_S_R11,24,2,3,36,0,9,2,0,4
C_S_R11,24.4,3,36,15,9,12,35,8,4.399999999999999
C_S_R11,24.8,4,15,12,12,17,14,11,4.800000000000001
C_S_R11,25.2,5,12,8,23,20,11,22,5.199999999999999
C_S_R11,25.6,6,8,13,20,36,7,19,5.600000000000001
C_S_R11,26,7,13,0,36,5,12,35,6
C_S_R12,24,2,3,18,0,6,2,0,4
C_S_R12,24.4,3,18,0,6,0,17,5,4.399999999999999
C_S_R13,24,2,3,2,0,8,2,0,4
C_S_R13,24.4,3,2,0,8,9,1,7,4.399999999999999
C_S_R14,24,2,3,21,0,8,2,0,4
C_S_R14,24.4,3,21,26,8,1,20,7,4.399999999999999
C_S_R14,24.8,4,26,10,1,0,25,0,4.800000000000001
C_S_R14,25.2,5,10,22,3,0,9,2,5.199999999999999
C_S_R14,25.6,6,22,44,0,0,21,0,5.600000000000001
C_S_R14,26,7,44,0,0,0,43,0,6
C_S_R15,24,2,3,36,0,6,2,0,4
C_S_R15,24.4,3,36,0,6,0,35,5,4.399999999999999
C_S_R16,24,2,3,26,0,9,2,0,4
C_S_R16,24.4,3,26,2,9,0,25,8,4.399999999999999
C_S_R16,24.8,4,2,11,0,0,1,0,4.800000000000001
C_S_R16,25.2,5,11,7,4,1,10,3,5.199999999999999
C_S_R16,25.6,6,7,14,1,9,6,0,5.600000000000001
C_S_R16,26,7,14,0,9,0,13,8,6
C_S_R17,24,2,3,34,0,9,2,0,4
C_S_R17,24.4,3,34,30,9,0,33,8,4.399999999999999
C_S_R17,24.8,4,30,16,0,0,29,0,4.800000000000001
C_S_R17,25.2,5,16,38,4,0,15,3,5.199999999999999
C_S_R17,25.6,6,38,33,0,0,37,0,5.600000000000001
C_S_R17,26,7,33,22,0,0,32,0,6
C_S_R17,26.4,8,22,11,0,0,21,0,6.399999999999999
C_S_R17,26.8,9,11,1,4,0,10,3,6.800000000000001
C_S_R17,27.2,10,1,1,0,0,0,0,7.199999999999999
C_S_R18,24,2,3,36,0,11,2,0,4
C_S_R18,24.4,3,36,22,11,1,35,10,4.399999999999999
C_S_R18,24.8,4,22,41,1,0,21,0,4.800000000000001
C_S_R18,25.2,5,41,23,3,0,40,2,5.199999999999999
C_S_R18,25.6,6,23,24,0,0,22,0,5.600000000000001
C_S_R18,26,7,24,0,0,0,23,0,6
C_S_R19,24,2,3,24,0,7,2,0,4
C_S_R19,24.4,3,24,0,7,0,23,6,4.399999999999999
C_S_R2,24,2,3,26,0,8,2,0,4
C_S_R2,24.4,3,26,0,8,0,25,7,4.399999999999999
C_S_R20,24,2,3,32,0,6,2,0,4
C_S_R20,24.4,3,32,32,6,0,31,5,4.399999999999999
C_S_R20,24.8,4,32,34,0,0,31,0,4.800000000000001
C_S_R20,25.2,5,34,39,4,0,33,3,5.199999999999999
C_S_R20,25.6,6,39,9,0,0,38,0,5.600000000000001
C_S_R20,26,7,9,1,0,0,8,0,6
C_S_R20,26.4,8,1,20,0,0,0,0,6.399999999999999
C_S_R20,26.8,9,20,1,4,0,19,3,6.800000000000001
C_S_R20,27.2,10,1,0,0,0,0,0,7.199999999999999
C_S_R21,24,2,3,32,0,13,2,0,4
C_S_R21,24.4,3,32,16,13,7,31,12,4.399999999999999
C_S_R21,24.8,4,16,34,7,0,15,6,4.800000000000001
C_S_R21,25.2,5,34,2,3,5,33,2,5.199999999999999
C_S_R21,25.6,6,2,8,5,38,1,4,5.600000000000001
C_S_R21,26,7,8,0,38,21,7,37,6
C_S_R22,24,2,3,9,0,7,2,0,4
C_S_R22,24.4,3,9,1,7,0,8,6,4.399999999999999
C_S_R22,24.8,4,1,22,0,0,0,0,4.800000000000001
C_S_R22,25.2,5,22,18,4,1,21,3,5.199999999999999
C_S_R22,25.6,6,18,7,1,0,17,0,5.600000000000001
C_S_R22,26,7,7,7,0,0,6,0,6
C_S_R22,26.4,8,7,13,0,0,6,0,6.399999999999999
C_S_R22,26.8,9,13,0,4,7,12,3,6.800000000000001
C_S_R23,24,2,3,20,0,14,2,0,4
C_S_R23,24.4,3,20,36,14,1,19,13,4.399999999999999
C_S_R23,24.8,4,36,22,1,0,35,0,4.800000000000001
C_S_R23,25.2,5,22,19,5,4,21,4,5.199999999999999
C_S_R23,25.6,6,19,39,4,10,18,3,5.600000000000001
C_S_R23,26,7,39,5,10,12,38,9,6
C_S_R23,26.4,8,5,8,12,34,4,11,6.399999999999999
C_S_R23,26.8,9,8,0,40,39,7,39,6.800000000000001
C_S_R24,24,2,3,37,0,8,2,0,4
C_S_R24,24.4,3,37,24,8,0,36,7,4.399999999999999
