LINE_ID,PrevTemp,GenNum,Prev_PAL_TOT,PAL_TOT,Prev_PAN_TOT,PAN_TOT,Prev_PAL_TOT_comp,Prev_PAN_TOT_comp
C_S_R1,24.4,3,60,44,19,6,59,18
C_S_R1,24.8,4,44,21,6,7,43,5
C_S_R1,25.2,5,21,46,13,51,20,12
C_S_R1,25.6,6,46,0,51,62,45,50
C_S_R1,26,7,0,0,62,56,0,61
C_S_R1,26.4,8,0,0,56,79,0,55
C_S_R1,26.8,9,0,0,85,73,0,84
C_S_R1,27.2,10,0,0,73,25,0,72
C_S_R10,24.4,3,23,0,14,1,22,13
C_S_R10,24.8,4,0,0,1,0,0,0
C_S_R10,25.2,5,0,0,6,0,0,5
C_S_R11,24.4,3,68,26,17,20,67,16
C_S_R11,24.8,4,26,28,20,33,25,19
C_S_R11,25.2,5,28,12,39,29,27,38
C_S_R11,25.6,6,12,31,29,59,11,28
C_S_R11,26,7,31,0,59,12,30,58
C_S_R11,26.4,8,0,0,12,3,0,11
C_S_R11,26.8,9,0,0,9,27,0,8
C_S_R11,27.2,10,0,0,27,78,0,26
C_S_R12,24.4,3,29,0,15,0,28,14
C_S_R12,25.2,5,0,0,6,4,0,5
C_S_R12,25.6,6,0,0,4,0,0,3
C_S_R13,24.4,3,3,0,17,16,2,16
C_S_R13,24.8,4,0,0,16,19,0,15
C_S_R13,25.2,5,0,0,25,67,0,24
C_S_R13,25.6,6,0,0,67,60,0,66
C_S_R13,26,7,0,0,60,28,0,59
C_S_R13,26.4,8,0,0,28,50,0,27
C_S_R13,26.8,9,0,0,56,95,0,55
C_S_R13,27.2,10,0,0,95,35,0,94
C_S_R14,24.4,3,54,55,17,3,53,16
C_S_R14,24.8,4,55,27,3,0,54,2
C_S_R14,25.2,5,27,49,6,0,26,5
C_S_R15,24.4,3,60,2,14,0,59,13
C_S_R15,25.2,5,0,0,6,6,0,5
C_S_R15,25.6,6,0,0,6,45,0,5
C_S_R15,26,7,0,0,45,38,0,44
C_S_R15,26.4,8,0,0,38,31,0,37
C_S_R15,26.8,9,0,0,37,24,0,36
C_S_R15,27.2,10,0,0,24,9,0,23
C_S_R16,24.4,3,38,3,16,0,37,15
C_S_R16,25.2,5,18,12,6,2,17,5
