Thermal,Competition,Error,ZiNBModifier,Relative_elpd_loo,Max_rhat
Briere,BHTEMP1Beta,ZiNB,temp,0,1.001
Briere,BHTEMPBeta,ZiNB,temp,-0.308,1.003
Briere,BHTEMP,ZiNB,temp,-6.1,1.002
Briere,BHTEMP1,ZiNB,temp,-6.29,1.002
Briere,BHBeta,ZiNB,temp,-7.42,1.002
Briere,BH,ZiNB,temp,-9.14,1.002
Briere,BHTEMPBeta,ZiNB,shapetemp,-11.7,1.014
Briere,BHTEMP1LogBeta,ZiNB,temp,-13.4,1.002
Briere,BHTEMP,ZiNB,shapetemp,-19.4,1.002
Briere,BHTEMP1,ZiNB,shapetemp,-20.4,1.001
Briere,BHTEMP1LogBeta,ZiNB,shapetemp,-25.5,1.003
Briere,BHBeta,ZiNB,shapetemp,-25.7,1.001
Briere,BH,ZiNB,shapetemp,-28.4,1.001
Briere,BHTEMPBeta,ZiNB,NA,-37,1.001
Briere,BHTEMP1Beta,ZiNB,NA,-37.1,1.003
Briere,BHTEMPBeta,ZiNB,shapecomp,-37.7,1.002
Briere,BHTEMP1Beta,ZiNB,shapecomp,-38.3,1.003
Briere,BHTEMP,ZiNB,NA,-42.3,1.003
Briere,BHBeta,ZiNB,NA,-42.5,1.001
Briere,BHTEMP1,ZiNB,NA,-42.6,1.002
Briere,BHTEMP,ZiNB,shapecomp,-43.5,1.004
Briere,BHBeta,ZiNB,shapecomp,-43.7,1.002
Briere,BHTEMP1,ZiNB,shapecomp,-43.7,1.002
Briere,BH,ZiNB,NA,-44.2,1.002
Briere,BH,ZiNB,shapecomp,-45.5,1.002
Briere,BHTEMP1LogBeta,ZiNB,NA,-49.8,1.002
Briere,BHTEMPBeta,NB,NA,-167,1.001
Briere,BHTEMP1Beta,NB,NA,-168,1.002
Briere,BHTEMP,NB,NA,-171,1.002
Briere,BHTEMP1,NB,NA,-172,1.001
Briere,BHBeta,NB,NA,-174,1.002
Briere,BH,NB,NA,-177,1.002
Briere,BHTEMP1LogBeta,NB,NA,-194,1.002
Briere,BHTEMP1Log,ZiNB,temp,-221,1.001
Briere,BHTEMP1Log,ZiNB,shapetemp,-232,1.002
Briere,BHTEMP1Log,ZiNB,NA,-256,1.001
Briere,BHTEMP1Log,ZiNB,shapecomp,-257,1.001
Briere,BHTEMP1Log,NB,NA,-300,1.001
Briere,BHTEMP1LogBeta,ZiNB,shapecomp,-1880,1.594
Briere,BHTEMP1Beta,Pois,NA,-5420,1.62
Briere,BHTEMPBeta,Pois,NA,-5430,1.002
Briere,BHTEMP,Pois,NA,-5450,1.006
Briere,BHTEMP1,Pois,NA,-5450,1.007
Briere,BHBeta,Pois,NA,-5460,1.002
Briere,BH,Pois,NA,-5500,1.003
Briere,BHTEMP1LogBeta,Pois,NA,-5790,1.015
Briere,BHTEMP1Log,Pois,NA,-8210,1.001
Briere,BHTEMP1Beta,ZiNB,shapetemp,-44300,3.031
